产品ID,产品名称,核算边界,碳足迹,企业名称,数据年份,数据类型,是否低碳
17100H3062021C,2021年新疆电力平均二氧化碳排放因子,摇篮到大门,0.6577kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2862021C,2021年江苏省电力平均二氧化碳排放因子,摇篮到大门,0.6451kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2902021C,2021年江西省电力平均二氧化碳排放因子,摇篮到大门,0.5835kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2922021C,2021年河南省电力平均二氧化碳排放因子,摇篮到大门,0.6369kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2872021C,2021年浙江省电力平均二氧化碳排放因子,摇篮到大门,0.5422kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2972021C,2021年海南省电力平均二氧化碳排放因子,摇篮到大门,0.4524kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2932021C,2021年湖北省电力平均二氧化碳排放因子,摇篮到大门,0.3672kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2942021C,2021年湖南省电力平均二氧化碳排放因子,摇篮到大门,0.5138kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H3032021C,2021年甘肃省电力平均二氧化碳排放因子,摇篮到大门,0.4955kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2892021C,2021年福建省电力平均二氧化碳排放因子,摇篮到大门,0.4711kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2762021C,2021年西南区域电力平均二氧化碳排放因子,摇篮到大门,0.2113kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H3002021C,2021年贵州省电力平均二氧化碳排放因子,摇篮到大门,0.5182kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2822021C,2021年辽宁省电力平均二氧化碳排放因子,摇篮到大门,0.5876kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H2982021C,2021年重庆市电力平均二氧化碳排放因子,摇篮到大门,0.4743kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H3022021C,2021年陕西省电力平均二氧化碳排放因子,摇篮到大门,0.6336kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H3042021C,2021年青海省电力平均二氧化碳排放因子,摇篮到大门,0.1326kgCO2e / 千瓦时,-,2021,核心数据库,否
17100H3492022C,2022年全国化石能源电力二氧化碳排放因子,大门到大门,0.8325kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3132022C,2022年全国区域平均二氧化碳排放因子-华东,大门到大门,0.5617kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3102022C,2022年全国电力平均二氧化碳排放因子-全国,大门到大门,0.5366kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3482022C,2022年全国电力平均二氧化碳排放因子（不包括市场化交易的非化石能源电量）,大门到大门,0.5856kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3122022C,2022年区域电力平均二氧化碳排放因子-东北,大门到大门,0.5564kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3142022C,2022年区域电力平均二氧化碳排放因子-华中,大门到大门,0.5395kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3112022C,2022年区域电力平均二氧化碳排放因子-华北,大门到大门,0.6776kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3162022C,2022年区域电力平均二氧化碳排放因子-南方,大门到大门,0.3869kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3152022C,2022年区域电力平均二氧化碳排放因子-西北,大门到大门,0.5857kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3172022C,2022年区域电力平均二氧化碳排放因子-西南,大门到大门,0.2268kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3262022C,2022年省级电力平均二氧化碳排放因子-上海,大门到大门,0.5849kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3422022C,2022年省级电力平均二氧化碳排放因子-云南,大门到大门,0.1073kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3222022C,2022年省级电力平均二氧化碳排放因子-内蒙古,大门到大门,0.6849kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3182022C,2022年省级电力平均二氧化碳排放因子-北京,大门到大门,0.558kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3242022C,2022年省级电力平均二氧化碳排放因子-吉林,大门到大门,0.4932kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3402022C,2022年省级电力平均二氧化碳排放因子-四川,大门到大门,0.1404kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3192022C,2022年省级电力平均二氧化碳排放因子-天津,大门到大门,0.7041kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3462022C,2022年省级电力平均二氧化碳排放因子-宁夏,大门到大门,0.6423kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3292022C,2022年省级电力平均二氧化碳排放因子-安徽,大门到大门,0.6782kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3322022C,2022年省级电力平均二氧化碳排放因子-山东,大门到大门,0.641kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3212022C,2022年省级电力平均二氧化碳排放因子-山西,大门到大门,0.7096kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3362022C,2022年省级电力平均二氧化碳排放因子-广东,大门到大门,0.4403kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3372022C,2022年省级电力平均二氧化碳排放因子-广西,大门到大门,0.4044kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3472022C,2022年省级电力平均二氧化碳排放因子-新疆,大门到大门,0.6231kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3272022C,2022年省级电力平均二氧化碳排放因子-江苏,大门到大门,0.5978kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3312022C,2022年省级电力平均二氧化碳排放因子-江西,大门到大门,0.5752kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3202022C,2022年省级电力平均二氧化碳排放因子-河北,大门到大门,0.7252kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3332022C,2022年省级电力平均二氧化碳排放因子-河南,大门到大门,0.6058kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3282022C,2022年省级电力平均二氧化碳排放因子-浙江,大门到大门,0.5153kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3382022C,2022年省级电力平均二氧化碳排放因子-海南,大门到大门,0.4184kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3342022C,2022年省级电力平均二氧化碳排放因子-湖北,大门到大门,0.4364kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3352022C,2022年省级电力平均二氧化碳排放因子-湖南,大门到大门,0.49kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3442022C,2022年省级电力平均二氧化碳排放因子-甘肃,大门到大门,0.4772kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3302022C,2022年省级电力平均二氧化碳排放因子-福建,大门到大门,0.4092kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3412022C,2022年省级电力平均二氧化碳排放因子-贵州,大门到大门,0.4989kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3232022C,2022年省级电力平均二氧化碳排放因子-辽宁,大门到大门,0.5626kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3392022C,2022年省级电力平均二氧化碳排放因子-重庆,大门到大门,0.5227kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3432022C,2022年省级电力平均二氧化碳排放因子-陕西,大门到大门,0.6558kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3452022C,2022年省级电力平均二氧化碳排放因子-青海,大门到大门,0.1567kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3252022C,2022年省级电力平均二氧化碳排放因子-黑龙江,大门到大门,0.5368kgCO2e / 千瓦时,-,2022,核心数据库,否
17100H3562023C,2023年主要发电类型电力碳足迹因子-光伏发电,摇篮到坟墓,0.0545kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3572023C,2023年主要发电类型电力碳足迹因子-光热发电,摇篮到坟墓,0.0313kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3542023C,2023年主要发电类型电力碳足迹因子-核能发电,摇篮到坟墓,0.0065kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3532023C,2023年主要发电类型电力碳足迹因子-水力发电,摇篮到坟墓,0.0143kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3522023C,2023年主要发电类型电力碳足迹因子-燃气发电,摇篮到坟墓,0.4792kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3512023C,2023年主要发电类型电力碳足迹因子-燃煤发电,摇篮到大门,0.944kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3582023C,2023年主要发电类型电力碳足迹因子-生物质发电,摇篮到坟墓,0.0457kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3552023C,2023年主要发电类型电力碳足迹因子-风力发电,摇篮到坟墓,0.0336kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H4242023C,2023年全国化石能源电力二氧化碳排放因子,大门到大门,0.8273kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3852023C,2023年全国电力平均二氧化碳排放因子,大门到大门,0.5306kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H4232023C,2023年全国电力平均二氧化碳排放因子（不包括市场化交易的非化石能源电量）,大门到大门,0.6096kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3502023C,2023年全国电力平均碳足迹因子,摇篮到坟墓,0.6205kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3092023C,2023年减排项目中国区域电网基准线排放因子（华北区域电网）-OM,大门到大门,0.935tCO2e / 兆瓦时,-,2023,核心数据库,否
17100H4012023C,2023年区域电力平均二氧化碳排放因子-上海,大门到大门,0.5737kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3872023C,2023年区域电力平均二氧化碳排放因子-东北,大门到大门,0.5122kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H4172023C,2023年区域电力平均二氧化碳排放因子-云南,大门到大门,0.1333kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3972023C,2023年区域电力平均二氧化碳排放因子-内蒙古,大门到大门,0.6479kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3932023C,2023年区域电力平均二氧化碳排放因子-北京,大门到大门,0.5554kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3882023C,2023年区域电力平均二氧化碳排放因子-华东,大门到大门,0.55kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3892023C,2023年区域电力平均二氧化碳排放因子-华中,大门到大门,0.5271kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3862023C,2023年区域电力平均二氧化碳排放因子-华北,大门到大门,0.6361kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3912023C,2023年区域电力平均二氧化碳排放因子-南方,大门到大门,0.4042kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3992023C,2023年区域电力平均二氧化碳排放因子-吉林,摇篮到大门,0.4671kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H4152023C,2023年区域电力平均二氧化碳排放因子-四川,大门到大门,0.1564kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3942023C,2023年区域电力平均二氧化碳排放因子-天津,大门到大门,0.6796kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H4212023C,2023年区域电力平均二氧化碳排放因子-宁夏,大门到大门,0.6187kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H4042023C,2023年区域电力平均二氧化碳排放因子-安徽,大门到大门,0.6553kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H4072023C,2023年区域电力平均二氧化碳排放因子-山东,大门到大门,0.6191kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3962023C,2023年区域电力平均二氧化碳排放因子-山西,大门到大门,0.6634kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H4112023C,2023年区域电力平均二氧化碳排放因子-广东,大门到大门,0.4419kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H4122023C,2023年区域电力平均二氧化碳排放因子-广西,大门到大门,0.4476kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H4222023C,2023年区域电力平均二氧化碳排放因子-新疆,大门到大门,0.6021kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H4022023C,2023年区域电力平均二氧化碳排放因子-江苏,大门到大门,0.5827kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H4062023C,2023年区域电力平均二氧化碳排放因子-江西,大门到大门,0.5836kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3952023C,2023年区域电力平均二氧化碳排放因子-河北,大门到大门,0.6516kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H4082023C,2023年区域电力平均二氧化碳排放因子-河南,大门到大门,0.5897kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H4032023C,2023年区域电力平均二氧化碳排放因子-浙江,大门到大门,0.4974kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H4132023C,2023年区域电力平均二氧化碳排放因子-海南,大门到大门,0.3648kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H4092023C,2023年区域电力平均二氧化碳排放因子-湖北,大门到大门,0.4044kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H4102023C,2023年区域电力平均二氧化碳排放因子-湖南,大门到大门,0.4976kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H4192023C,2023年区域电力平均二氧化碳排放因子-甘肃,大门到大门,0.4471kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H4052023C,2023年区域电力平均二氧化碳排放因子-福建,大门到大门,0.4211kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3902023C,2023年区域电力平均二氧化碳排放因子-西北,大门到大门,0.5543kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3922023C,2023年区域电力平均二氧化碳排放因子-西南,摇篮到大门,0.2472kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H4162023C,2023年区域电力平均二氧化碳排放因子-贵州,大门到大门,0.5683kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3982023C,2023年区域电力平均二氧化碳排放因子-辽宁,大门到大门,0.4878kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H4142023C,2023年区域电力平均二氧化碳排放因子-重庆,大门到大门,0.5581kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H4182023C,2023年区域电力平均二氧化碳排放因子-陕西,摇篮到大门,0.6335kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H4202023C,2023年区域电力平均二氧化碳排放因子-青海,大门到大门,0.1796kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H4002023C,2023年区域电力平均二氧化碳排放因子-黑龙江,摇篮到大门,0.5229kgCO2e / 千瓦时,-,2023,核心数据库,否
17100H3592023C,2023年输配电碳足迹因子-输配电（不含线损）,摇篮到坟墓,0.0036kgCO2e / 千瓦时,-,2023,核心数据库,否
17100E0622024C,2024年主要发电类型电力碳足迹因子-光伏发电,摇篮到坟墓,0.052kgCO2e / 千瓦时,-,2024,核心数据库,否
17100E0632024C,2024年主要发电类型电力碳足迹因子-光热发电,摇篮到坟墓,0.0312kgCO2e / 千瓦时,-,2024,核心数据库,否
17100C0112024C,2024年主要发电类型电力碳足迹因子-核能发电,摇篮到坟墓,0.0065kgCO2e / 千瓦时,-,2024,核心数据库,否
17100B0322024C,2024年主要发电类型电力碳足迹因子-水力发电,摇篮到坟墓,0.0141kgCO2e / 千瓦时,-,2024,核心数据库,否
17100A0142024C,2024年主要发电类型电力碳足迹因子-燃气发电,摇篮到坟墓,0.4503kgCO2e / 千瓦时,-,2024,核心数据库,否
17100H3752024C,2024年主要发电类型电力碳足迹因子-燃煤发电,摇篮到坟墓,0.924kgCO2e / 千瓦时,-,2024,核心数据库,否
17100F0402024C,2024年主要发电类型电力碳足迹因子-生物质发电,摇篮到坟墓,0.0404kgCO2e / 千瓦时,-,2024,核心数据库,否
17100D0822024C,2024年主要发电类型电力碳足迹因子-风力发电,摇篮到坟墓,0.0324kgCO2e / 千瓦时,-,2024,核心数据库,否
17100H3732024C,2024年全国电力平均碳足迹因子,摇篮到坟墓,0.5777kgCO2e / 千瓦时,-,2024,核心数据库,否
17100H3832024C,2024年输配电碳足迹因子-不含线损,摇篮到坟墓,0.0046kgCO2e / 千瓦时,-,2024,核心数据库,否
17100H3842024C,2024年输配电碳足迹因子-含线损,摇篮到坟墓,0.0327kgCO2e / 千瓦时,-,2024,核心数据库,否
17100D0012021C,2MW海上风电机组发电,摇篮到坟墓,1.69gCO2e / 千瓦时,-,2021,核心数据库,否
17100D0002021C,2MW陆上风电机组发电,摇篮到坟墓,4.02gCO2e / 千瓦时,-,2021,核心数据库,否
17100D0012022C,2MW风电机组发电,摇篮到坟墓,24.08gCO2e / 千瓦时,-,2022,核心数据库,否
17100E0582022C,3MW光伏发电,摇篮到坟墓,32.58gCO2e / 千瓦时,-,2022,核心数据库,否
17100D0802021C,3MW海上风电机组发电,摇篮到坟墓,1.28gCO2e / 千瓦时,-,2021,核心数据库,否
17100D0812021C,3MW陆上风电机组发电,摇篮到坟墓,3.23gCO2e / 千瓦时,-,2021,核心数据库,否
17100D0792021C,50MW风力发电-广西,摇篮到坟墓,23322tCO2e / 个,-,2021,核心数据库,否
17100G0002022C,5MW风光互补发电,摇篮到坟墓,29.2gCO2e / 千瓦时,-,2022,核心数据库,否
64210X0142023C,802列车（柴油）,大门到大门,42gCO2e / 人·千米,-,2023,核心数据库,否
64210X0132023C,802列车（电力）,大门到大门,29gCO2e / 人·千米,-,2023,核心数据库,否
49113X0232020C,A0级汽油车-SUV,摇篮到坟墓,229.51gCO2e / 千米,-,2020,核心数据库,否
49113X0222020C,A级汽油车-SUV,摇篮到坟墓,225.52gCO2e / 千米,-,2020,核心数据库,否
37115X0182021C,BT汽车钢化玻璃（5mm）,摇篮到大门,18.46kgCO2e / 平方米,-,2021,核心数据库,否
37560X0112023C,C40普通混凝土,摇篮到大门,321.8kgCO2e / 立方米,-,2023,核心数据库,否
37115X0172021C,GT汽车钢化玻璃（5mm）,摇篮到大门,24.27kgCO2e / 平方米,-,2021,核心数据库,否
37330X1742023C,LC40页岩陶粒轻骨料混凝土,摇篮到大门,521.27kgCO2e / 立方米,-,2023,核心数据库,否
33429A0012025C,LPG液化石油气,大门到坟墓,63.1kgCO2e / 吉焦,-,2025,核心数据库,否
12020X0152025C,NGL天然气凝液,大门到坟墓,17.2kgCO2e / 吉焦,-,2025,核心数据库,否
36990X0282024C,OPP胶带,摇篮到坟墓,1.8kgCO2e / 卷,-,2024,核心数据库,否
46410X0212023C,PERC 太阳电池,摇篮到大门,469.25kgCO2e / 千瓦,-,2023,核心数据库,否
35290X0092022C,一次性KN95口罩,摇篮到坟墓,6.4125kgCO2e / 人·月,-,2022,核心数据库,否
35290X0072022C,一次性医用口罩,摇篮到坟墓,1.28926kgCO2e / 人·月,-,2022,核心数据库,否
35290X0062022C,一次性医用外科口罩,摇篮到坟墓,1.54328kgCO2e / 人·月,-,2022,核心数据库,否
33349X0072025C,一般煤油,大门到坟墓,71.9kgCO2e / 吉焦,-,2025,核心数据库,否
04312X0022022C,中华绒螯蟹-大眼幼体,摇篮到大门,9.885kgCO2e / 千克,-,2022,核心数据库,否
04312X0032022C,中华绒螯蟹-扣蟹,摇篮到大门,5.914kgCO2e / 千克,-,2022,核心数据库,否
64210X0122021C,中国高铁,摇篮到坟墓,38gCO2e / 人·千米,-,2021,核心数据库,否
64119X0102023C,中型SUV汽油车运输,大门到坟墓,218.15gCO2e / 千米,-,2023,核心数据库,否
65111X0122024C,中型冷链天然气货车运输,摇篮到坟墓,0.1826kgCO2e / 公吨·公里,-,2024,核心数据库,否
65111X0032024C,中型冷链柴油货车运输,摇篮到坟墓,0.1683kgCO2e / 公吨·公里,-,2024,核心数据库,否
65111X0082024C,中型冷链纯电动货车运输,摇篮到大门,0.116kgCO2e / 公吨·公里,-,2024,核心数据库,否
65119X0462024C,中型天然气货车运输,摇篮到坟墓,0.163kgCO2e / 公吨·公里,-,2024,核心数据库,否
64118X0022023C,中型客车（8座以上，19座以下）运输,大门到坟墓,0.053kgCO2e / 人·千米,-,2023,核心数据库,否
65119X0322024C,中型柴油货车运输,摇篮到坟墓,0.1502kgCO2e / 公吨·公里,-,2024,核心数据库,否
65119X0332024C,"中型柴油货车运输 [10500kg,12500kg]",摇篮到坟墓,0.1445kgCO2e / 公吨·公里,-,2024,核心数据库,否
65119X0352024C,"中型柴油货车运输 [7000kg,8500kg]",摇篮到坟墓,0.1493kgCO2e / 公吨·公里,-,2024,核心数据库,否
65119X0342024C,"中型柴油货车运输 [8500kg,10500kg]",摇篮到坟墓,0.1569kgCO2e / 公吨·公里,-,2024,核心数据库,否
65119X0122019C,中型柴油货车运输(载重8t),摇篮到坟墓,0.179kgCO2e / 公吨·公里,-,2019,核心数据库,否
