产品ID,产品名称,核算边界,碳足迹,企业名称,数据年份,数据类型,是否低碳
47140X0012022A,可通信传感器,摇篮到坟墓,8.1kgCO2e / 台,-,2022,文献数据,否
35290X0052022A,可重复使用的布口罩,摇篮到坟墓,0.571kgCO2e / 只,-,2022,文献数据,否
45240X0092020A,台式电脑,摇篮到大门,805.78kgCO2e / 千克,-,2020,文献数据,否
45240X0102021A,台式电脑,摇篮到大门,736.86kgCO2e / 千克,-,2021,文献数据,否
45240X0112021A,台式电脑,摇篮到大门,1109.25kgCO2e / 千克,-,2021,文献数据,否
45240X0122020A,台式电脑,摇篮到大门,746.7kgCO2e / 千克,-,2020,文献数据,否
45240X0132021A,台式电脑,摇篮到大门,755.24kgCO2e / 千克,-,2021,文献数据,否
45240X0142021A,台式电脑,摇篮到坟墓,267.3kgCO2e / 千克,-,2021,文献数据,否
45240X0152021A,台式电脑,摇篮到坟墓,281.05kgCO2e / 千克,-,2021,文献数据,否
45240X0162020A,台式电脑,摇篮到坟墓,103.2kgCO2e / 千克,-,2020,文献数据,否
45240X0172020A,台式电脑,摇篮到坟墓,118.2kgCO2e / 千克,-,2020,文献数据,否
45240X0182021A,台式电脑,摇篮到坟墓,170.3kgCO2e / 千克,-,2021,文献数据,否
45240X0192021A,台式电脑,摇篮到坟墓,243.75kgCO2e / 千克,-,2021,文献数据,否
45240X0202019A,台式电脑,摇篮到坟墓,884.8kgCO2e / 千克,-,2019,文献数据,否
45240X0212019A,台式电脑,摇篮到坟墓,2238.08kgCO2e / 千克,-,2019,文献数据,否
17100A0042020A,台湾电力碳足迹2020,摇篮到大门,0.59kgCO2e / 千瓦时,-,2020,文献数据,否
36220X0012010A,合成橡胶,摇篮到大门,2.4kgCO2e / 千克,-,2010,文献数据,否
17100G0532019A,吉林2019年电网排放因子,摇篮到大门,0.8857kgCO2e / 兆瓦时,-,2019,文献数据,否
10110A0062018A,吉林造林,摇篮到坟墓,-343tCO2e / 平方千米,-,2018,文献数据,否
46320X0012005A,同轴电缆,摇篮到大门,0.07kgCO2e / 米,-,2005,文献数据,否
46320X0022005A,同轴电缆,摇篮到大门,0.14kgCO2e / 米,-,2005,文献数据,否
46320X0032005A,同轴电缆,摇篮到大门,0.17kgCO2e / 米,-,2005,文献数据,否
23912X0022023A,咖啡,摇篮到坟墓,66.86gCO2e / 杯,-,2023,文献数据,否
23912X0012023A,咖啡,摇篮到坟墓,0.314gCO2e / 毫升,-,2023,文献数据,否
23911X0032018A,咖啡,摇篮到坟墓,0.4kgCO2e / 杯,-,2018,文献数据,否
23911X0022022A,咖啡-一次性使用,摇篮到坟墓,70.71gCO2e / 杯,-,2022,文献数据,否
23911X0012022A,咖啡-循环回收利用,摇篮到坟墓,66.86gCO2e / 杯,-,2022,文献数据,否
23911X0052014A,咖啡-羊皮纸,摇篮到大门,8.3kgCO2e / 千克,-,2014,文献数据,否
23911X0012016A,咖啡-芬兰地区,摇篮到坟墓,0.7kgCO2e / 升,-,2016,文献数据,否
94110X0092011A,咖啡制作废水处理,摇篮到坟墓,44.23kgCO2e / 公吨,-,2011,文献数据,否
35321X0212019B,咖啡因养发液,摇篮到坟墓,0.0086kgCO2e / 毫升,-,2019,文献数据,否
35321X0112019B,咖啡因护发素,摇篮到坟墓,0.0029kgCO2e / 毫升,-,2019,文献数据,否
35321X0032019B,咖啡因洗发精,摇篮到坟墓,0.0271kgCO2e / 毫升,-,2019,文献数据,否
04291X0082012A,哈克鱼,摇篮到大门,11.85kgCO2e / 千克,-,2012,文献数据,否
04291X0092013A,哈克鱼(鱼条)-智利,摇篮到大门,2.26kgCO2e / 千克,-,2013,文献数据,否
21242X0042013A,哈克鱼鱼条-西班牙,摇篮到大门,716.3gCO2e / 包,-,2013,文献数据,否
32620X0062019A,商业印刷册,摇篮到大门,440gCO2e / 册,-,2019,文献数据,否
32620X0032016A,商业印刷册,摇篮到大门,0.1957kgCO2e / 册,-,2016,文献数据,否
32620X0042019A,商业印刷册,摇篮到大门,0.72kgCO2e / 册,-,2019,文献数据,否
32620X0022019A,商业印刷册,摇篮到大门,1.21kgCO2e / 册,-,2019,文献数据,否
32620X0052015A,商业宣传册印刷品,摇篮到大门,0.1564kgCO2e / 册,-,2015,文献数据,否
64122X0012023A,商务旅行（水上客运）,摇篮到大门,0.0187kgCO2e / 人·千米,-,2023,文献数据,否
24310X0092016A,啤酒,摇篮到坟墓,842gCO2e / 升,-,2016,文献数据,否
24310X0102016A,啤酒,摇篮到坟墓,575gCO2e / 升,-,2016,文献数据,否
24310X0112016A,啤酒,摇篮到坟墓,510gCO2e / 升,-,2016,文献数据,否
24310X0152010A,啤酒,摇篮到坟墓,24gCO2e / 毫升,-,2010,文献数据,否
42931X0032020A,啤酒发酵罐,摇篮到坟墓,28.08tCO2e / 个,-,2020,文献数据,否
94110X0062011A,啤酒和麦芽制造行业废水处理,摇篮到坟墓,14.34kgCO2e / 公吨,-,2011,文献数据,否
37191X0012012A,啤酒玻璃瓶-智利,摇篮到大门,1.78kgCO2e / 千克,-,2012,文献数据,否
24310X0022018A,啤酒组合罐-意大利,摇篮到大门,0.544kgCO2e / 千克,-,2018,文献数据,否
01249X0012008A,四季豆,摇篮到坟墓,1.55kgCO2e / 千克,-,2008,文献数据,否
01249X0022013A,四季豆,摇篮到大门,0.1kgCO2e / 千克,-,2013,文献数据,否
17100G0442019A,四川2019年电网排放因子,摇篮到大门,0.1308tCO2e / 兆瓦时,-,2019,文献数据,否
10110A0072018A,四川造林,摇篮到坟墓,-83tCO2e / 平方千米,-,2018,文献数据,否
28238X0022009A,围巾,摇篮到大门,1.8kgCO2e / 千克,-,2009,文献数据,否
28229X0022009A,围巾、披肩、领带等,摇篮到坟墓,1.7kgCO2e / 克,-,2009,文献数据,否
67440X0012022A,固体氧化物燃料电池电动汽车,摇篮到大门,40gCO2e / 千米,-,2022,文献数据,否
42945X0032018A,固定板条床架,摇篮到大门,35kgCO2e / 个,-,2018,文献数据,否
49113X0182019A,国Ⅰ小型汽油客车,摇篮到大门,328.48gCO2e / 千米,-,2019,文献数据,否
49113X0212019A,国Ⅱ小型汽油客车,摇篮到大门,319.01gCO2e / 千米,-,2019,文献数据,否
